,FinalObjectiveValue,TrainingElapsedTimeSeconds,TrainingEndTime,TrainingJobName,TrainingJobStatus,TrainingStartTime,epochs,feature_dim,hidden_dim,validation_split
0,2.3228594159263594e-07,5476.0,2020-02-24 18:02:00+00:00,pytorch-training-200224-1152-030-0adc9183,Completed,2020-02-24 16:30:44+00:00,15.0,5.0,11.0,0.21059188336253118
1,5.840507242282911e-07,4469.0,2020-02-24 17:27:50+00:00,pytorch-training-200224-1152-029-4418cf66,Completed,2020-02-24 16:13:21+00:00,14.0,6.0,7.0,0.24590523785471868
2,2.898891011682281e-07,5353.0,2020-02-24 17:42:08+00:00,pytorch-training-200224-1152-028-47d403ca,Completed,2020-02-24 16:12:55+00:00,15.0,6.0,22.0,0.24873275250315618
3,2.8995535217291035e-07,5303.0,2020-02-24 17:33:49+00:00,pytorch-training-200224-1152-027-7ed731c4,Completed,2020-02-24 16:05:26+00:00,15.0,6.0,22.0,0.24776288663291174
4,1.0635172884576605e-06,845.0,2020-02-24 16:10:30+00:00,pytorch-training-200224-1152-026-b8c0768b,Completed,2020-02-24 15:56:25+00:00,6.0,17.0,11.0,0.23048017030270465
5,5.864266086064163e-07,4459.0,2020-02-24 17:09:43+00:00,pytorch-training-200224-1152-025-d1f1aa60,Completed,2020-02-24 15:55:24+00:00,14.0,6.0,7.0,0.24740523785471868
6,3.1394299071507703e-07,4466.0,2020-02-24 16:27:12+00:00,pytorch-training-200224-1152-024-293b842e,Completed,2020-02-24 15:12:46+00:00,14.0,25.0,11.0,0.24407418316721868
7,2.0188853966374154e-07,5564.0,2020-02-24 16:37:39+00:00,pytorch-training-200224-1152-023-68aee74f,Completed,2020-02-24 15:04:55+00:00,15.0,14.0,23.0,0.23652877301096867
8,3.1175397907645674e-07,4456.0,2020-02-24 16:11:01+00:00,pytorch-training-200224-1152-022-861a8289,Completed,2020-02-24 14:56:45+00:00,14.0,25.0,11.0,0.24557418316721868
9,1.9541440110515396e-07,4581.0,2020-02-24 16:02:52+00:00,pytorch-training-200224-1152-021-3d4c0e03,Completed,2020-02-24 14:46:31+00:00,14.0,17.0,19.0,0.2431800791633124
10,7.73338797444012e-07,1401.0,2020-02-24 15:09:45+00:00,pytorch-training-200224-1152-020-4b5b7d28,Completed,2020-02-24 14:46:24+00:00,8.0,23.0,5.0,0.22555306500315617
11,7.687239644837973e-07,1441.0,2020-02-24 15:02:53+00:00,pytorch-training-200224-1152-019-8d08b2d1,Completed,2020-02-24 14:38:52+00:00,8.0,23.0,5.0,0.22705306500315617
12,1.990269851148696e-07,5179.0,2020-02-24 15:54:23+00:00,pytorch-training-200224-1152-018-2f254c77,Completed,2020-02-24 14:28:04+00:00,15.0,15.0,25.0,0.24364535015940617
13,1.959082140956525e-07,5414.0,2020-02-24 15:48:38+00:00,pytorch-training-200224-1152-017-f236618e,Completed,2020-02-24 14:18:24+00:00,15.0,15.0,25.0,0.24664535015940617
14,8.87874250565801e-07,1772.0,2020-02-24 14:43:48+00:00,pytorch-training-200224-1152-016-3cf5176d,Completed,2020-02-24 14:14:16+00:00,8.0,6.0,21.0,0.10297310894846867
15,8.699909130882588e-07,1717.0,2020-02-24 14:36:22+00:00,pytorch-training-200224-1152-015-7b69a942,Completed,2020-02-24 14:07:45+00:00,8.0,6.0,21.0,0.10447310894846867
16,7.926954026515887e-07,3207.0,2020-02-24 14:24:43+00:00,pytorch-training-200224-1152-014-e4c66f37,Completed,2020-02-24 13:31:16+00:00,11.0,6.0,11.0,0.13143831890940616
17,2.693803082820523e-07,5495.0,2020-02-24 14:53:38+00:00,pytorch-training-200224-1152-013-dc0e1f03,Completed,2020-02-24 13:22:03+00:00,15.0,24.0,22.0,0.20118026226878116
18,3.3445272151766403e-07,845.0,2020-02-24 13:28:31+00:00,pytorch-training-200224-1152-012-3fbfbad9,Completed,2020-02-24 13:14:26+00:00,6.0,25.0,24.0,0.23529738873362493
19,2.3030335682960867e-07,5503.0,2020-02-24 14:44:21+00:00,pytorch-training-200224-1152-011-1520d257,Completed,2020-02-24 13:12:38+00:00,15.0,20.0,23.0,0.22257448834299992
20,3.6654267887570313e-07,3080.0,2020-02-24 14:00:57+00:00,pytorch-training-200224-1152-010-3673babf,Completed,2020-02-24 13:09:37+00:00,11.0,24.0,25.0,0.18080520123362492
21,4.7161054794742086e-07,3983.0,2020-02-24 14:15:08+00:00,pytorch-training-200224-1152-009-888cce9a,Completed,2020-02-24 13:08:45+00:00,12.0,23.0,25.0,0.11564254254221867
22,5.125391453475459e-07,703.0,2020-02-24 13:05:16+00:00,pytorch-training-200224-1152-008-18055be9,Completed,2020-02-24 12:53:33+00:00,5.0,25.0,20.0,0.11467043560862493
23,2.0736227668294305e-07,5230.0,2020-02-24 14:11:50+00:00,pytorch-training-200224-1152-007-b2eff644,Completed,2020-02-24 12:44:40+00:00,15.0,13.0,17.0,0.25
24,2.0845112658207654e-07,2904.0,2020-02-24 12:42:20+00:00,pytorch-training-200224-1152-006-365a28be,Completed,2020-02-24 11:53:56+00:00,11.0,18.0,23.0,0.23571742458650158
25,2.4957267896752455e-07,4630.0,2020-02-24 13:11:15+00:00,pytorch-training-200224-1152-005-4a9e1f54,Completed,2020-02-24 11:54:05+00:00,14.0,7.0,5.0,0.22261563761448563
26,4.796191888090107e-07,5051.0,2020-02-24 13:18:56+00:00,pytorch-training-200224-1152-004-9b609248,Completed,2020-02-24 11:54:45+00:00,14.0,19.0,7.0,0.1423572681503564
27,4.425449162681616e-07,4579.0,2020-02-24 13:10:22+00:00,pytorch-training-200224-1152-003-dbb3c295,Completed,2020-02-24 11:54:03+00:00,13.0,21.0,11.0,0.10817252333288774
28,1.1949267673116992e-06,4277.0,2020-02-24 13:05:11+00:00,pytorch-training-200224-1152-002-0cadcada,Completed,2020-02-24 11:53:54+00:00,13.0,13.0,5.0,0.15211252395636227
29,1.152389017988753e-06,3425.0,2020-02-24 12:50:57+00:00,pytorch-training-200224-1152-001-972588d6,Completed,2020-02-24 11:53:52+00:00,12.0,10.0,6.0,0.21148140972971868
